time_hrs,T_engine_F,T_cw_F,delta_F
0.0833,73.0000,73.0040,-0.00400
0.1667,73.0000,73.0040,-0.00400
0.2500,73.0000,73.0040,-0.00400
0.3333,73.0000,73.0040,-0.00400
0.4167,73.0000,73.0040,-0.00400
0.5000,73.0000,73.0040,-0.00400
0.5833,73.0000,73.0040,-0.00400
0.6667,73.0000,73.0040,-0.00400
0.7500,73.0000,73.0040,-0.00400
0.8333,73.0000,73.0040,-0.00400
0.9167,73.0000,73.0040,-0.00400
1.0000,73.0000,73.0040,-0.00400
1.0833,73.0000,73.0040,-0.00400
1.1667,73.0000,73.0040,-0.00400
1.2500,73.0000,73.0040,-0.00399
1.3333,73.0000,73.0040,-0.00398
1.4167,73.0000,73.0040,-0.00397
1.5000,73.0001,73.0040,-0.00393
1.5833,73.0001,73.0040,-0.00387
1.6667,73.0002,73.0040,-0.00376
1.7500,73.0004,73.0040,-0.00360
1.8333,73.0007,73.0040,-0.00334
1.9167,73.0010,73.0040,-0.00297
2.0000,73.0016,73.0040,-0.00244
2.0833,73.0023,73.0040,-0.00171
2.1667,73.0033,73.0040,-0.00074
2.2500,73.0045,73.0040,0.00055
2.3333,73.0062,73.0040,0.00219
2.4167,73.0083,73.0040,0.00427
2.5000,73.0108,73.0040,0.00684
2.5833,73.0140,73.0040,0.00999
2.6667,73.0178,73.0220,-0.00422
2.7500,73.0223,73.0220,0.00030
2.8333,73.0276,73.0220,0.00562
2.9167,73.0338,73.0220,0.01183
3.0000,73.0410,73.0400,0.00100
3.0833,73.0492,73.0400,0.00920
3.1667,73.0585,73.0580,0.00053
3.2500,73.0690,73.0580,0.01105
3.3333,73.0808,73.0760,0.00482
3.4167,73.0939,73.0760,0.01795
3.5000,73.1085,73.0940,0.01446
3.5833,73.1244,73.1120,0.01244
3.6667,73.1420,73.1300,0.01196
3.7500,73.1611,73.1480,0.01305
3.8333,73.1818,73.1660,0.01578
3.9167,73.2042,73.1840,0.02022
4.0000,73.2284,73.2020,0.02637
4.0833,73.2543,73.2380,0.01630
4.1667,73.2821,73.2560,0.02608
4.2500,73.3117,73.2920,0.01967
4.3333,73.3431,73.3100,0.03315
4.4167,73.3766,73.3460,0.03058
4.5000,73.4119,73.3820,0.02990
4.5833,73.4492,73.4180,0.03119
4.6667,73.4885,73.4540,0.03450
4.7500,73.5297,73.4900,0.03975
4.8333,73.5730,73.5260,0.04701
4.9167,73.6183,73.5800,0.03833
5.0000,73.6656,73.6160,0.04963
5.0833,73.7149,73.6700,0.04495
5.1667,73.7664,73.7240,0.04236
5.2500,73.8197,73.7600,0.05974
5.3333,73.8751,73.8140,0.06114
5.4167,73.9326,73.8680,0.06464
5.5000,73.9921,73.9220,0.07009
5.5833,74.0535,73.9940,0.05954
5.6667,74.1171,74.0480,0.06908
5.7500,74.1825,74.1020,0.08053
5.8333,74.2500,74.1740,0.07596
5.9167,74.3194,74.2460,0.07343
6.0000,74.3908,74.3000,0.09078
6.0833,74.4641,74.3720,0.09206
6.1667,74.5394,74.4440,0.09535
6.2500,74.6165,74.5160,0.10046
6.3333,74.6954,74.5880,0.10745
6.4167,74.7764,74.6780,0.09840
6.5000,74.8591,74.7500,0.10910
6.5833,74.9436,74.8400,0.10362
6.6667,75.0301,74.9120,0.11806
6.7500,75.1182,75.0020,0.11617
6.8333,75.2081,75.0740,0.13405
6.9167,75.2998,75.1640,0.13578
7.0000,75.3931,75.2540,0.13912
7.0833,75.4881,75.3440,0.14415
7.1667,75.5850,75.4340,0.15097
7.2500,75.6833,75.5420,0.14132
7.3333,75.7833,75.6320,0.15130
7.4167,75.8850,75.7220,0.16300
7.5000,75.9882,75.8300,0.15816
7.5833,76.0929,75.9200,0.17287
7.6667,76.1992,76.0280,0.17124
7.7500,76.3070,76.1180,0.18900
7.8333,76.4162,76.2260,0.19023
7.9167,76.5271,76.3340,0.19306
8.0000,76.6392,76.4420,0.19720
8.0833,76.7527,76.5500,0.20274
8.1667,76.8678,76.6580,0.20982
8.2500,76.9841,76.7660,0.21812
8.3333,77.1018,76.8740,0.22776
8.4167,77.2209,77.0000,0.22087
8.5000,77.3411,77.1080,0.23313
8.5833,77.4627,77.2160,0.24666
8.6667,77.5856,77.3420,0.24359
8.7500,77.7096,77.4500,0.25960
8.8333,77.8348,77.5760,0.25882
8.9167,77.9614,77.7020,0.25937
9.0000,78.0889,77.8100,0.27894
9.0833,78.2176,77.9360,0.28164
9.1667,78.3476,78.0620,0.28561
9.2500,78.4785,78.1880,0.29052
9.3333,78.6105,78.3140,0.29651
9.4167,78.7437,78.4400,0.30371
9.5000,78.8778,78.5660,0.31179
9.5833,79.0129,78.6920,0.32087
9.6667,79.1491,78.8180,0.33111
9.7500,79.2862,78.9620,0.32416
9.8333,79.4242,79.0880,0.33616
9.9167,79.5633,79.2140,0.34926
10.0000,79.7031,79.3580,0.34510
10.0833,79.8438,79.4840,0.35983
10.1667,79.9856,79.6100,0.37561
10.2500,80.1281,79.7540,0.37407
10.3333,80.2714,79.8980,0.37336
10.4167,80.4156,80.0240,0.39165
10.5000,80.5606,80.1680,0.39256
10.5833,80.7062,80.2940,0.41225
10.6667,80.8529,80.4380,0.41488
10.7500,81.0001,80.5820,0.41807
10.8333,81.1480,80.7260,0.42200
10.9167,81.2968,80.8700,0.42681
11.0000,81.4461,80.9960,0.45014
11.0833,81.5961,81.1400,0.45614
11.1667,81.7470,81.2840,0.46298
11.2500,81.8983,81.4280,0.47029
11.3333,82.0502,81.5720,0.47822
11.4167,82.2029,81.7160,0.48694
11.5000,82.3561,81.8600,0.49608
11.5833,82.5098,82.0040,0.50579
11.6667,82.6643,82.1660,0.49826
11.7500,82.8191,82.3100,0.50909
11.8333,82.9744,82.4540,0.52045
11.9167,83.1305,82.5980,0.53252
12.0000,83.2869,82.7420,0.54490
12.0833,83.4438,82.9040,0.53978
12.1667,83.6013,83.0480,0.55332
12.2500,83.7591,83.1920,0.56713
12.3333,83.9174,83.3540,0.56338
12.4167,84.0763,83.4980,0.57827
12.5000,84.2354,83.6420,0.59338
12.5833,84.3949,83.8040,0.59090
12.6667,84.5550,83.9480,0.60700
12.7500,84.7153,84.0920,0.62330
12.8333,84.8760,84.2540,0.62196
12.9167,85.0372,84.3980,0.63916
13.0000,85.1985,84.5600,0.63852
13.0833,85.3602,84.7040,0.65621
13.1667,85.5224,84.8660,0.65641
13.2500,85.6847,85.0100,0.67472
13.3333,85.8473,85.1720,0.67533
13.4167,86.0104,85.3340,0.67641
13.5000,86.1736,85.4780,0.69557
13.5833,86.3370,85.6400,0.69698
13.6667,86.5008,85.7840,0.71685
13.7500,86.6647,85.9460,0.71875
13.8333,86.8289,86.1080,0.72088
13.9167,86.9934,86.2520,0.74142
14.0000,87.1580,86.4140,0.74396
14.0833,87.3227,86.5760,0.74670
14.1667,87.4878,86.7200,0.76783
14.2500,87.6529,86.8820,0.77092
14.3333,87.8182,87.0440,0.77418
14.4167,87.9838,87.1880,0.79580
14.5000,88.1494,87.3500,0.79935
14.5833,88.3150,87.5120,0.80304
14.6667,88.4811,87.6560,0.82506
14.7500,88.6470,87.8180,0.82898
14.8333,88.8130,87.9800,0.83302
14.9167,88.9793,88.1240,0.85535
15.0000,89.1456,88.2860,0.85956
15.0833,89.3119,88.4480,0.86386
15.1667,89.4784,88.6100,0.86842
15.2500,89.6448,88.7540,0.89084
15.3333,89.8113,88.9160,0.89532
15.4167,89.9780,89.0780,0.90004
15.5000,90.1446,89.2400,0.90459
15.5833,90.3112,89.3840,0.92717
15.6667,90.4780,89.5460,0.93197
15.7500,90.6446,89.7080,0.93658
15.8333,90.8112,89.8700,0.94119
15.9167,90.9780,90.0140,0.96400
16.0000,91.1446,90.1760,0.96859
16.0833,91.3112,90.3380,0.97316
16.1667,91.4779,90.4820,0.99591
16.2500,91.6444,90.6440,1.00042
16.3333,91.8109,90.8060,1.00489
16.4167,91.9775,90.9680,1.00951
16.5000,92.1439,91.1120,1.03187
16.5833,92.3102,91.2740,1.03616
16.6667,92.4766,91.4360,1.04059
16.7500,92.6427,91.5980,1.04474
16.8333,92.8088,91.7420,1.06681
16.9167,92.9750,91.9040,1.07098
17.0000,93.1409,92.0660,1.07486
17.0833,93.3066,92.2100,1.09664
17.1667,93.4725,92.3720,1.10050
17.2500,93.6381,92.5340,1.10406
17.3333,93.8035,92.6780,1.12548
17.4167,93.9690,92.8400,1.12898
17.5000,94.1342,93.0020,1.13215
17.5833,94.2992,93.1460,1.15318
17.6667,94.4643,93.3080,1.15626
17.7500,94.6290,93.4700,1.15899
17.8333,94.7936,93.6140,1.17957
17.9167,94.9582,93.7760,1.18218
18.0000,95.1224,93.9200,1.20243
18.0833,95.2865,94.0820,1.20451
18.1667,95.4506,94.2440,1.20660
18.2500,95.6143,94.3880,1.22631
18.3333,95.7778,94.5500,1.22784
18.4167,95.9414,94.6940,1.24737
18.5000,96.1045,94.8560,1.24851
18.5833,96.2674,95.0000,1.26744
18.6667,96.4304,95.1620,1.26836
18.7500,96.5929,95.3060,1.28688
18.8333,96.7552,95.4680,1.28718
18.9167,96.9174,95.6120,1.30545
19.0000,97.0793,95.7740,1.30530
19.0833,97.2409,95.9180,1.32292
19.1667,97.4025,96.0800,1.32251
19.2500,97.5637,96.2240,1.33966
19.3333,97.7246,96.3680,1.35656
19.4167,97.8854,96.5300,1.35542
19.5000,98.0458,96.6740,1.37183
19.5833,98.2060,96.8360,1.36999
19.6667,98.3661,96.9800,1.38608
19.7500,98.5257,97.1240,1.40172
19.8333,98.6851,97.2860,1.39909
19.9167,98.8444,97.4300,1.41438
20.0000,99.0032,97.5740,1.42921
20.0833,99.1618,97.7360,1.42577
20.1667,99.3202,97.8800,1.44023
20.2500,99.4782,98.0240,1.45422
20.3333,99.6359,98.1680,1.46792
20.4167,99.7935,98.3300,1.46353
20.5000,99.9506,98.4740,1.47665
20.5833,100.1075,98.6180,1.48947
20.6667,100.2642,98.7620,1.50219
20.7500,100.4204,98.9060,1.51441
20.8333,100.5763,99.0500,1.52633
20.9167,100.7321,99.2120,1.52013
21.0000,100.8874,99.3560,1.53143
21.0833,101.0424,99.5000,1.54241
21.1667,101.1973,99.6440,1.55327
21.2500,101.3516,99.7880,1.56362
21.3333,101.5057,99.9320,1.57365
21.4167,101.6595,100.0760,1.58354
21.5000,101.8129,100.2200,1.59292
21.5833,101.9660,100.3640,1.60197
21.6667,102.1189,100.5080,1.61087
21.7500,102.2713,100.6520,1.61925
21.8333,102.4233,100.7960,1.62730
21.9167,102.5752,100.9400,1.63519
22.0000,102.7266,101.0840,1.64256
22.0833,102.8776,101.2280,1.64958
22.1667,103.0284,101.3540,1.67445
22.2500,103.1788,101.4980,1.68078
22.3333,103.3288,101.6420,1.68677
22.4167,103.4786,101.7860,1.69258
22.5000,103.6279,101.9300,1.69786
22.5833,103.7768,102.0740,1.70279
22.6667,103.9255,102.2000,1.72554
22.7500,104.0738,102.3440,1.72975
22.8333,104.2216,102.4880,1.73360
22.9167,104.3693,102.6140,1.75527
23.0000,104.5164,102.7580,1.75840
23.0833,104.6632,102.9020,1.76117
23.1667,104.8097,103.0280,1.78174
23.2500,104.9558,103.1720,1.78377
23.3333,105.1014,103.3160,1.78543
23.4167,105.2469,103.4420,1.80490
23.5000,105.3918,103.5860,1.80582
23.5833,105.5364,103.7120,1.82436
23.6667,105.6807,103.8560,1.82471
23.7500,105.8245,103.9820,1.84250
23.8333,105.9679,104.1260,1.84192
23.9167,106.1111,104.2520,1.85913
24.0000,106.2538,104.3960,1.85780
24.0833,106.3961,104.5220,1.87408
24.1667,106.5381,104.6660,1.87215
24.2500,106.6797,104.7920,1.88767
24.3333,106.8208,104.9180,1.90280
24.4167,106.9617,105.0620,1.89972
24.5000,107.1021,105.1880,1.91409
24.5833,107.2421,105.3140,1.92807
24.6667,107.3818,105.4400,1.94183
24.7500,107.5210,105.5840,1.93704
24.8333,107.6599,105.7100,1.94985
24.9167,107.7984,105.8360,1.96245
25.0000,107.9365,105.9620,1.97449
25.0833,108.0741,106.1060,1.96814
25.1667,108.2116,106.2320,1.97956
25.2500,108.3484,106.3580,1.99042
25.3333,108.4849,106.4840,2.00090
25.4167,108.6211,106.6100,2.01114
25.5000,108.7568,106.7360,2.02083
25.5833,108.8921,106.8620,2.03013
25.6667,109.0272,106.9880,2.03919
25.7500,109.1617,107.1140,2.04769
25.8333,109.2958,107.2400,2.05581
25.9167,109.4297,107.3660,2.06368
26.0000,109.5630,107.4920,2.07100
26.0833,109.6959,107.6180,2.07793
26.1667,109.8286,107.7440,2.08462
26.2500,109.9607,107.8700,2.09075
26.3333,110.0925,107.9960,2.09648
26.4167,110.2240,108.1220,2.10198
26.5000,110.3549,108.2300,2.12492
26.5833,110.4855,108.3560,2.12947
26.6667,110.6158,108.4820,2.13377
26.7500,110.7455,108.6080,2.13752
26.8333,110.8749,108.7340,2.14088
26.9167,111.0040,108.8420,2.16199
27.0000,111.1325,108.9680,2.16455
27.0833,111.2607,109.0940,2.16671
27.1667,111.3886,109.2020,2.18663
27.2500,111.5160,109.3280,2.18799
27.3333,111.6430,109.4540,2.18896
27.4167,111.7697,109.5620,2.20769
27.5000,111.8959,109.6880,2.20786
27.5833,112.0216,109.7960,2.22564
27.6667,112.1472,109.9220,2.22518
27.7500,112.2722,110.0300,2.24216
27.8333,112.3968,110.1560,2.24075
27.9167,112.5211,110.2640,2.25709
28.0000,112.6449,110.3900,2.25489
28.0833,112.7683,110.4980,2.27029
28.1667,112.8914,110.6240,2.26745
28.2500,113.0141,110.7320,2.28206
28.3333,113.1363,110.8400,2.29628
28.4167,113.2582,110.9660,2.29225
28.5000,113.3797,111.0740,2.30568
28.5833,113.5007,111.1820,2.31871
28.6667,113.6215,111.3080,2.31350
28.7500,113.7418,111.4160,2.32575
28.8333,113.8616,111.5240,2.33761
28.9167,113.9812,111.6320,2.34922
29.0000,114.1003,111.7400,2.36029
29.0833,114.2190,111.8660,2.35298
29.1667,114.3374,111.9740,2.36341
29.2500,114.4553,112.0820,2.37331
29.3333,114.5728,112.1900,2.38283
29.4167,114.6901,112.2980,2.39209
29.5000,114.8068,112.4060,2.40083
29.5833,114.9232,112.5140,2.40917
29.6667,115.0393,112.6220,2.41727
29.7500,115.1548,112.7300,2.42485
29.8333,115.2700,112.8380,2.43204
29.9167,115.3850,112.9460,2.43898
30.0000,115.4994,113.0540,2.44540
30.0833,115.6134,113.1620,2.45143
30.1667,115.7272,113.2700,2.45722
30.2500,115.8405,113.3780,2.46248
30.3333,115.9534,113.4860,2.46737
30.4167,116.0660,113.5940,2.47201
30.5000,116.1781,113.7020,2.47613
30.5833,116.2899,113.8100,2.47987
30.6667,116.4014,113.9000,2.50137
30.7500,116.5124,114.0080,2.50435
30.8333,116.6230,114.1160,2.50696
30.9167,116.7333,114.2240,2.50932
31.0000,116.8432,114.3140,2.52917
31.0833,116.9527,114.4220,2.53065
31.1667,117.0619,114.5300,2.53188
31.2500,117.1706,114.6200,2.55061
31.3333,117.2790,114.7280,2.55097
31.4167,117.3871,114.8360,2.55108
31.5000,117.4947,114.9260,2.56869
31.5833,117.6019,115.0340,2.56793
31.6667,117.7089,115.1240,2.58493
31.7500,117.8154,115.2320,2.58343
31.8333,117.9216,115.3220,2.59957
31.9167,118.0275,115.4300,2.59746
32.0000,118.1329,115.5200,2.61286
32.0833,118.2379,115.6280,2.60989
32.1667,118.3427,115.7180,2.62469
32.2500,118.4470,115.8260,2.62099
32.3333,118.5509,115.9160,2.63493
32.4167,118.6546,116.0240,2.63064
32.5000,118.7579,116.1140,2.64386
32.5833,118.8607,116.2040,2.65672
32.6667,118.9633,116.3120,2.65134
32.7500,119.0655,116.4020,2.66348
32.8333,119.1673,116.4920,2.67526
32.9167,119.2688,116.6000,2.66881
33.0000,119.3699,116.6900,2.67988
33.0833,119.4706,116.7800,2.69060
33.1667,119.5711,116.8700,2.70108
33.2500,119.6711,116.9780,2.69309
33.3333,119.7708,117.0680,2.70275
33.4167,119.8702,117.1580,2.71218
33.5000,119.9691,117.2480,2.72114
33.5833,120.0677,117.3380,2.72975
33.6667,120.1661,117.4280,2.73813
33.7500,120.2640,117.5180,2.74604
33.8333,120.3616,117.6260,2.73561
33.9167,120.4590,117.7160,2.74295
34.0000,120.5558,117.8060,2.74983
34.0833,120.6524,117.8960,2.75637
34.1667,120.7487,117.9860,2.76268
34.2500,120.8445,118.0760,2.76853
34.3333,120.9400,118.1660,2.77405
34.4167,121.0353,118.2560,2.77934
34.5000,121.1302,118.3460,2.78418
34.5833,121.2247,118.4180,2.80668
34.6667,121.3190,118.5080,2.81096
34.7500,121.4128,118.5980,2.81479
34.8333,121.5063,118.6880,2.81829
34.9167,121.5996,118.7780,2.82156
35.0000,121.6924,118.8680,2.82440
35.0833,121.7849,118.9580,2.82690
35.1667,121.8772,119.0300,2.84719
35.2500,121.9690,119.1200,2.84903
35.3333,122.0605,119.2100,2.85055
35.4167,122.1519,119.3000,2.85185
35.5000,122.2427,119.3720,2.87072
35.5833,122.3333,119.4620,2.87126
35.6667,122.4236,119.5520,2.87159
35.7500,122.5135,119.6420,2.87148
35.8333,122.6031,119.7140,2.88906
35.9167,122.6924,119.8040,2.88842
36.0000,122.7814,119.8940,2.88736
36.0833,122.8700,119.9660,2.90398
36.1667,122.9584,120.0560,2.90238
36.2500,123.0464,120.1280,2.91837
36.3333,123.1340,120.2180,2.91604
36.4167,123.2215,120.2900,2.93151
36.5000,123.3086,120.3800,2.92855
36.5833,123.3953,120.4700,2.92528
36.6667,123.4818,120.5420,2.93981
36.7500,123.5679,120.6140,2.95393
36.8333,123.6537,120.7040,2.94973
36.9167,123.7393,120.7760,2.96333
37.0000,123.8245,120.8660,2.95852
37.0833,123.9094,120.9380,2.97141
37.1667,123.9941,121.0280,2.96610
37.2500,124.0784,121.1000,2.97838
37.3333,124.1624,121.1720,2.99035
37.4167,124.2461,121.2620,2.98413
37.5000,124.3295,121.3340,2.99551
37.5833,124.4126,121.4240,2.98859
37.6667,124.4955,121.4960,2.99947
37.7500,124.5780,121.5680,3.00995
37.8333,124.6601,121.6400,3.02014
37.9167,124.7421,121.7300,3.01213
38.0000,124.8237,121.8020,3.02173
38.0833,124.9050,121.8740,3.03104
38.1667,124.9862,121.9460,3.04016
38.2500,125.0669,122.0360,3.03088
38.3333,125.1473,122.1080,3.03932
38.4167,125.2276,122.1800,3.04757
38.5000,125.3074,122.2520,3.05543
38.5833,125.3870,122.3240,3.06301
38.6667,125.4664,122.3960,3.07039
38.7500,125.5454,122.4860,3.05940
38.8333,125.6241,122.5580,3.06612
38.9167,125.7027,122.6300,3.07266
39.0000,125.7808,122.7020,3.07882
39.0833,125.8587,122.7740,3.08471
39.1667,125.9364,122.8460,3.09040
39.2500,126.0137,122.9180,3.09573
39.3333,126.0908,122.9900,3.10078
39.4167,126.1676,123.0620,3.10564
39.5000,126.2441,123.1340,3.11014
39.5833,126.3204,123.2060,3.11437
39.6667,126.3964,123.2780,3.11841
39.7500,126.4721,123.3500,3.12209
39.8333,126.5475,123.4220,3.12550
39.9167,126.6227,123.4940,3.12874
40.0000,126.6976,123.5660,3.13161
40.0833,126.7722,123.6200,3.15221
40.1667,126.8466,123.6920,3.15464
40.2500,126.9207,123.7640,3.15672
40.3333,126.9945,123.8360,3.15853
40.4167,127.0682,123.9080,3.16016
40.5000,127.1414,123.9800,3.16145
40.5833,127.2145,124.0520,3.16247
40.6667,127.2873,124.1060,3.18132
40.7500,127.3598,124.1780,3.18183
40.8333,127.4321,124.2500,3.18207
40.9167,127.5041,124.3220,3.18215
41.0000,127.5759,124.3760,3.19988
41.0833,127.6474,124.4480,3.19936
41.1667,127.7187,124.5200,3.19866
41.2500,127.7896,124.5920,3.19763
41.3333,127.8604,124.6460,3.21435
41.4167,127.9309,124.7180,3.21290
41.5000,128.0011,124.7900,3.21112
41.5833,128.0711,124.8440,3.22709
41.6667,128.1409,124.9160,3.22489
41.7500,128.2104,124.9700,3.24036
41.8333,128.2796,125.0420,3.23758
41.9167,128.3486,125.1140,3.23465
42.0000,128.4174,125.1680,3.24938
42.0833,128.4859,125.2400,3.24587
42.1667,128.5542,125.2940,3.26020
42.2500,128.6222,125.3660,3.25621
42.3333,128.6900,125.4200,3.26998
42.4167,128.7576,125.4920,3.26559
42.5000,128.8249,125.5640,3.26088
42.5833,128.8919,125.6180,3.27393
42.6667,128.9588,125.6720,3.28682
42.7500,129.0254,125.7440,3.28140
42.8333,129.0917,125.7980,3.29375
42.9167,129.1579,125.8700,3.28794
43.0000,129.2238,125.9240,3.29981
43.0833,129.2895,125.9960,3.29346
43.1667,129.3550,126.0500,3.30495
43.2500,129.4201,126.1220,3.29814
43.3333,129.4851,126.1760,3.30909
43.4167,129.5499,126.2300,3.31990
43.5000,129.6144,126.3020,3.31239
43.5833,129.6787,126.3560,3.32267
43.6667,129.7428,126.4100,3.33279
43.7500,129.8066,126.4820,3.32461
43.8333,129.8702,126.5360,3.33421
43.9167,129.9337,126.5900,3.34367
44.0000,129.9968,126.6620,3.33482
44.0833,130.0598,126.7160,3.34375
44.1667,130.1225,126.7700,3.35254
44.2500,130.1850,126.8240,3.36104
44.3333,130.2473,126.8960,3.35131
44.4167,130.3094,126.9500,3.35944
44.5000,130.3713,127.0040,3.36729
44.5833,130.4329,127.0580,3.37491
44.6667,130.4944,127.1300,3.36440
44.7500,130.5556,127.1840,3.37159
44.8333,130.6166,127.2380,3.37858
44.9167,130.6774,127.2920,3.38542
45.0000,130.7380,127.3460,3.39199
45.0833,130.7983,127.4000,3.39834
45.1667,130.8585,127.4720,3.38655
45.2500,130.9185,127.5260,3.39248
45.3333,130.9782,127.5800,3.39821
45.4167,131.0378,127.6340,3.40379
45.5000,131.0971,127.6880,3.40911
45.5833,131.1562,127.7420,3.41421
45.6667,131.2152,127.7960,3.41918
45.7500,131.2739,127.8500,3.42388
45.8333,131.3324,127.9040,3.42838
45.9167,131.3907,127.9580,3.43274
46.0000,131.4488,128.0120,3.43683
46.0833,131.5067,128.0660,3.44072
46.1667,131.5645,128.1200,3.44449
46.2500,131.6220,128.1740,3.44798
46.3333,131.6793,128.2280,3.45128
46.4167,131.7364,128.2820,3.45444
46.5000,131.7933,128.3360,3.45735
46.5833,131.8501,128.3900,3.46005
46.6667,131.9066,128.4440,3.46263
46.7500,131.9630,128.4980,3.46495
46.8333,132.0191,128.5520,3.46708
46.9167,132.0751,128.6060,3.46908
47.0000,132.1308,128.6600,3.47082
47.0833,132.1864,128.7140,3.47238
47.1667,132.2418,128.7680,3.47380
47.2500,132.2970,128.8220,3.47498
47.3333,132.3520,128.8760,3.47596
47.4167,132.4068,128.9120,3.49483
47.5000,132.4614,128.9660,3.49544
47.5833,132.5159,129.0200,3.49586
47.6667,132.5702,129.0740,3.49617
47.7500,132.6242,129.1280,3.49622
47.8333,132.6781,129.1820,3.49609
47.9167,132.7318,129.2180,3.51385
48.0000,132.7854,129.2720,3.51335
48.0833,132.8387,129.3260,3.51268
48.1667,132.8919,129.3800,3.51189
48.2500,132.9449,129.4340,3.51085
48.3333,132.9976,129.4700,3.52764
48.4167,133.0503,129.5240,3.52631
48.5000,133.1027,129.5780,3.52474
48.5833,133.1550,129.6320,3.52300
48.6667,133.2071,129.6680,3.53913
48.7500,133.2590,129.7220,3.53704
48.8333,133.3108,129.7760,3.53476
48.9167,133.3624,129.8120,3.55038
49.0000,133.4138,129.8660,3.54776
49.0833,133.4650,129.9200,3.54497
49.1667,133.5161,129.9560,3.56006
49.2500,133.5669,130.0100,3.55693
49.3333,133.6176,130.0640,3.55362
49.4167,133.6682,130.1000,3.56821
49.5000,133.7186,130.1540,3.56456
49.5833,133.7688,130.2080,3.56075
49.6667,133.8188,130.2440,3.57483
49.7500,133.8687,130.2980,3.57068
49.8333,133.9184,130.3340,3.58437
49.9167,133.9680,130.3880,3.57995
50.0000,134.0173,130.4420,3.57531
50.0833,134.0665,130.4780,3.58850
50.1667,134.1156,130.5320,3.58359
50.2500,134.1645,130.5680,3.59645
50.3333,134.2132,130.6220,3.59116
50.4167,134.2618,130.6580,3.60376
50.5000,134.3101,130.7120,3.59814
50.5833,134.3584,130.7480,3.61036
50.6667,134.4065,130.8020,3.60448
50.7500,134.4544,130.8560,3.59839
50.8333,134.5021,130.8920,3.61013
50.9167,134.5498,130.9460,3.60378
51.0000,134.5972,130.9820,3.61521
51.0833,134.6445,131.0180,3.62649
51.1667,134.6917,131.0720,3.61966
51.2500,134.7386,131.1080,3.63063
51.3333,134.7854,131.1620,3.62344
51.4167,134.8322,131.1980,3.63415
51.5000,134.8787,131.2520,3.62666
51.5833,134.9250,131.2880,3.63701
51.6667,134.9713,131.3420,3.62926
51.7500,135.0173,131.3780,3.63931
51.8333,135.0632,131.4140,3.64921
51.9167,135.1090,131.4680,3.64102
52.0000,135.1546,131.5040,3.65062
52.0833,135.2001,131.5580,3.64207
52.1667,135.2454,131.5940,3.65143
52.2500,135.2906,131.6300,3.66058
52.3333,135.3356,131.6840,3.65159
52.4167,135.3805,131.7200,3.66051
52.5000,135.4252,131.7560,3.66923
52.5833,135.4698,131.8100,3.65980
52.6667,135.5143,131.8460,3.66828
52.7500,135.5586,131.8820,3.67657
52.8333,135.6027,131.9360,3.66671
52.9167,135.6468,131.9720,3.67476
53.0000,135.6906,132.0080,3.68262
53.0833,135.7343,132.0440,3.69034
53.1667,135.7780,132.0980,3.67996
53.2500,135.8214,132.1340,3.68740
53.3333,135.8647,132.1700,3.69469
53.4167,135.9079,132.2240,3.68390
53.5000,135.9509,132.2600,3.69092
53.5833,135.9938,132.2960,3.69780
53.6667,136.0366,132.3320,3.70459
53.7500,136.0792,132.3860,3.69320
53.8333,136.1217,132.4220,3.69967
53.9167,136.1641,132.4580,3.70605
54.0000,136.2063,132.4940,3.71225
54.0833,136.2483,132.5300,3.71832
54.1667,136.2903,132.5840,3.70630
54.2500,136.3321,132.6200,3.71210
54.3333,136.3738,132.6560,3.71776
54.4167,136.4153,132.6920,3.72334
54.5000,136.4567,132.7280,3.72874
54.5833,136.4980,132.7640,3.73401
54.6667,136.5392,132.8180,3.72120
54.7500,136.5802,132.8540,3.72620
54.8333,136.6211,132.8900,3.73108
54.9167,136.6619,132.9260,3.73588
55.0000,136.7025,132.9620,3.74050
55.0833,136.7430,132.9980,3.74499
55.1667,136.7834,133.0340,3.74941
55.2500,136.8236,133.0880,3.73564
55.3333,136.8638,133.1240,3.73976
55.4167,136.9038,133.1600,3.74379
55.5000,136.9436,133.1960,3.74765
55.5833,136.9834,133.2320,3.75138
55.6667,137.0230,133.2680,3.75504
55.7500,137.0625,133.3040,3.75853
55.8333,137.1019,133.3400,3.76189
55.9167,137.1412,133.3760,3.76518
56.0000,137.1803,133.4120,3.76830
56.0833,137.2193,133.4480,3.77129
56.1667,137.2582,133.4840,3.77421
56.2500,137.2970,133.5200,3.77696
56.3333,137.3356,133.5560,3.77960
56.4167,137.3742,133.5920,3.78216
56.5000,137.4125,133.6280,3.78455
56.5833,137.4508,133.6640,3.78682
56.6667,137.4890,133.7000,3.78902
56.7500,137.5271,133.7360,3.79106
56.8333,137.5650,133.7720,3.79298
56.9167,137.6028,133.8080,3.79483
57.0000,137.6405,133.8440,3.79652
57.0833,137.6781,133.8800,3.79809
57.1667,137.7156,133.9160,3.79959
57.2500,137.7529,133.9520,3.80092
57.3333,137.7901,133.9880,3.80215
57.4167,137.8273,134.0240,3.80330
57.5000,137.8643,134.0600,3.80430
57.5833,137.9012,134.0960,3.80518
57.6667,137.9380,134.1320,3.80600
57.7500,137.9747,134.1680,3.80665
57.8333,138.0112,134.2040,3.80720
57.9167,138.0477,134.2400,3.80768
58.0000,138.0840,134.2760,3.80800
58.0833,138.1202,134.2940,3.82621
